bowler,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
C Nanda,0,0,0,0,0,0,4,0,7,4,10,5,11,7,0,7,0,0,0,0
C Sakariya,20,42,30,57,30,16,0,22,16,0,10,32,0,30,43,35,58,46,20,56
C de Grandhomme,0,11,0,0,0,0,11,16,11,64,10,42,47,14,46,17,5,0,0,7
CH Gayle,12,3,17,17,54,42,16,29,44,23,42,39,56,45,31,52,14,50,31,63
CH Morris,79,155,60,222,160,145,43,82,29,58,65,19,67,37,93,94,258,148,220,186
CJ Anderson,9,10,34,36,13,14,5,14,11,41,23,25,60,16,0,40,4,28,25,89
CJ Dala,0,0,0,16,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0
CJ Green,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
CJ Jordan,9,28,61,33,29,66,30,45,9,65,35,28,20,57,12,31,120,149,71,135
CJ McKay,0,0,14,0,12,0,0,2,0,5,0,7,0,0,0,0,8,0,12,0
CK Kapugedera,0,0,0,0,0,0,0,8,0,0,0,0,0,26,0,0,15,0,0,0
CK Langeveldt,8,29,19,12,11,11,0,0,0,23,0,0,4,0,0,7,9,6,16,23
CL White,0,0,0,0,0,0,0,6,0,5,2,32,0,14,22,0,0,0,0,0
CR Brathwaite,5,7,0,0,0,18,4,36,14,45,2,52,20,54,13,18,29,20,5,21
CR Woakes,27,56,38,63,27,24,14,16,45,0,26,0,7,0,20,5,84,12,131,40
CRD Fernando,0,22,0,35,10,16,10,14,6,10,11,1,7,0,15,12,37,31,17,25
CV Varun,8,47,17,117,62,125,73,155,112,149,136,188,120,101,184,95,127,82,52,11
D Brevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
D Jansen,0,0,0,0,15,0,0,0,0,0,0,13,0,0,0,0,9,0,12,0
D Kalyankrishna,0,0,0,0,0,0,13,0,0,4,0,10,8,0,33,17,0,0,0,0
D Pretorius,0,0,0,0,0,0,0,11,0,4,12,4,19,17,18,7,25,21,55,29
D Salunkhe,0,0,0,0,0,0,0,15,0,22,0,9,6,11,0,7,0,0,0,0
D Wiese,0,9,14,12,27,19,41,37,39,20,18,21,10,44,15,27,34,11,30,0
D du Preez,0,0,0,0,10,2,0,22,0,0,0,0,0,6,0,0,0,0,0,15
DA Warner,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DAJ Bracewell,0,7,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,10
DB Ravi Teja,0,0,0,0,0,0,0,0,0,0,9,4,0,15,0,0,0,0,0,0
DE Bollinger,8,126,0,118,59,54,0,0,3,0,0,0,11,0,0,27,53,96,53,55
DG Nalkande,0,13,0,8,0,0,0,17,0,24,0,0,9,10,34,5,0,0,12,11
DJ Bravo,0,17,10,42,87,128,143,194,138,276,131,197,153,347,235,337,286,576,293,588
DJ Harris,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0,10,0,0
DJ Hooda,13,3,13,14,13,38,27,45,42,53,32,27,36,67,0,69,4,22,0,0
DJ Hussey,0,20,0,15,5,16,24,16,23,47,27,57,44,33,30,20,34,17,0,39
DJ Mitchell,0,0,0,0,0,0,20,17,0,25,0,13,0,19,0,0,0,0,0,0
DJ Muthuswami,6,28,6,8,18,26,0,0,0,0,0,8,0,0,0,0,1,0,0,0
DJ Thornely,0,0,0,0,0,0,0,0,8,0,6,0,13,9,2,0,0,0,0,0
DJ Willey,31,22,35,30,22,11,6,13,0,0,10,3,0,9,16,19,15,10,15,0
DJG Sammy,4,0,0,14,7,8,43,20,7,29,32,16,33,7,16,57,5,4,0,39
DJM Short,0,0,0,0,0,0,0,10,0,0,0,0,6,0,3,0,0,0,0,0
DL Chahar,472,20,633,22,388,129,46,38,19,3,18,29,5,48,48,2,42,44,117,21
DL Vettori,2,23,7,19,14,31,44,85,79,62,79,55,40,63,48,81,59,33,30,17
DNT Zoysa,0,33,0,0,11,0,8,0,0,0,13,0,0,0,0,0,22,9,0,0
DP Nannes,135,48,96,15,30,2,3,3,10,12,21,0,7,9,49,45,42,60,101,46
DP Vijaykumar,33,17,15,36,15,6,0,7,0,3,0,7,0,0,6,0,13,0,27,7
DR Sams,73,14,72,4,6,28,21,25,7,0,8,7,36,12,29,54,6,67,17,3
DR Smith,0,10,0,0,59,50,58,29,64,70,74,45,82,29,70,62,31,0,26,28
DS Kulkarni,78,297,145,325,145,246,55,44,36,67,60,71,26,114,109,137,83,122,102,102
DT Christian,9,32,4,43,73,78,54,44,119,40,40,54,49,52,106,58,80,108,0,109
DW Steyn,217,286,257,190,132,49,17,0,24,27,64,26,119,82,70,96,161,205,272,112
F du Plessis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
FA Allen,10,10,0,0,0,11,7,24,10,10,4,0,18,0,31,0,0,0,0,0
FH Edwards,22,0,31,0,1,0,0,0,0,0,0,0,0,3,11,8,22,0,45,1
FY Fazal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
Fazalhaq Farooqi,1,15,11,18,17,27,0,0,6,8,6,0,26,13,0,0,8,6,0,55
G Coetzee,13,9,6,37,21,22,0,19,15,0,18,31,7,7,13,48,0,41,0,11
GB Hogg,0,0,0,21,3,27,29,38,48,55,39,59,7,42,66,8,74,26,10,0
GC Viljoen,0,0,0,25,8,21,0,6,4,2,2,0,21,26,7,13,9,27,12,27
GD McGrath,52,0,81,0,74,0,9,0,0,0,0,0,8,0,11,16,25,10,58,8
GD Phillips,0,0,0,4,0,0,0,6,0,0,0,26,0,3,0,0,0,0,0,0
GH Vihari,14,19,0,0,0,0,3,0,1,0,9,0,0,0,0,0,0,0,0,0
GHS Garton,3,24,0,50,15,9,0,0,0,0,0,8,0,2,0,5,7,0,5,0
GJ Maxwell,100,27,32,26,80,58,49,123,48,156,114,142,101,84,43,56,8,12,8,8
GR Napier,0,3,0,0,0,0,0,0,10,0,4,0,0,0,10,0,0,0,0,0
GS Sandhu,0,7,0,0,0,0,0,10,0,0,0,8,0,7,0,0,19,11,0,20
Gagandeep Singh,0,0,0,0,0,7,0,8,3,3,5,16,17,5,13,8,21,0,35,0
Gulbadin Naib,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Gurkeerat Singh,0,0,0,0,19,0,3,24,3,7,14,9,5,9,0,0,0,0,0,0
Gurnoor Brar,2,0,15,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
H Sharma,0,0,0,0,0,0,4,14,12,0,12,15,0,0,0,0,0,0,0,0
HF Gurney,7,9,10,8,3,25,0,0,0,11,0,13,13,0,24,3,29,14,16,46
HH Pandya,71,127,53,155,94,59,130,94,129,143,54,88,98,82,217,134,32,98,57,168
HR Shokeen,0,10,0,11,16,29,37,37,11,30,5,26,15,22,28,24,0,0,0,0
HV Patel,0,44,46,59,189,127,140,181,150,139,162,137,219,135,89,200,183,300,175,328
Harbhajan Singh,114,106,83,278,106,207,234,415,357,401,267,397,147,304,145,121,112,54,67,13
Harmeet Singh,5,11,17,39,54,10,17,62,32,58,29,65,30,76,25,33,53,18,59,5
Harpreet Brar,20,12,53,32,26,29,86,50,116,82,52,25,78,31,107,6,31,14,4,21
Harshit Rana,23,61,40,38,55,47,7,65,7,10,3,6,18,31,7,19,32,34,31,29
I Malhotra,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
I Sharma,149,377,296,385,216,282,37,26,34,21,28,85,41,132,146,195,147,83,172,168
I Udana,35,0,29,15,0,21,6,4,9,14,0,13,13,15,11,6,0,16,28,39
IC Pandey,34,86,58,71,25,25,86,13,11,0,39,3,17,40,13,16,30,0,0,17
IC Porel,0,7,0,17,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0
IK Pathan,228,221,244,194,104,41,84,35,96,52,95,65,129,128,121,140,105,160,84,243
IS Sodhi,0,0,0,0,0,17,34,11,41,7,14,9,14,25,21,2,6,0,0,0
Imran Tahir,0,0,5,8,33,37,102,147,146,159,116,147,59,102,129,186,158,40,64,26
Iqbal Abdulla,31,27,22,100,57,48,62,87,87,91,33,72,85,66,48,69,36,15,39,8
J Botha,24,16,65,52,17,75,23,12,62,44,51,62,34,44,66,38,37,32,19,8
J Little,0,49,0,28,0,42,16,22,9,4,15,5,12,14,29,5,16,15,28,22
J Suchith,1,1,19,11,40,28,68,28,100,21,104,32,51,35,19,0,10,0,0,17
J Syed Mohammad,0,0,1,0,13,0,7,14,26,5,40,19,53,12,56,27,0,6,0,0
J Theron,9,0,0,54,0,33,7,0,0,8,6,13,9,3,6,18,49,13,48,12
J Yadav,35,49,21,39,49,9,26,36,33,21,3,17,33,28,17,21,0,0,0,0
JA Morkel,237,169,281,176,143,209,52,59,61,60,62,85,46,63,64,37,105,79,213,55
JA Richardson,0,13,0,35,0,0,0,10,0,12,0,17,0,8,21,10,0,26,0,0
JC Archer,29,60,54,107,79,33,0,0,9,14,7,31,32,71,32,71,139,54,231,72
JD Ryder,0,0,0,0,7,0,21,40,17,32,7,53,37,16,12,16,13,16,0,10
JD Unadkat,104,176,186,154,153,150,60,125,67,141,77,165,98,117,234,114,258,290,200,250
JDP Oram,38,18,32,3,65,10,5,7,7,0,9,0,28,0,21,0,11,26,55,7
JDS Neesham,17,0,0,17,0,28,36,26,17,25,12,46,4,35,25,22,0,18,0,0
JE Root,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0
JE Taylor,0,14,0,17,17,0,0,0,0,7,0,0,0,9,3,0,0,63,0,22
JEC Franklin,0,0,0,0,12,4,9,24,0,9,10,34,21,23,28,23,0,19,0,0
JH Kallis,20,101,32,102,131,221,178,190,154,76,142,48,65,34,135,103,111,114,168,97
JJ Bumrah,63,212,85,313,206,226,48,28,39,17,132,119,122,156,177,160,521,277,455,257
JJ van der Wath,5,9,0,5,19,0,0,11,0,0,0,0,0,0,32,0,0,26,11,7
JL Pattinson,0,55,0,46,9,34,0,12,0,27,0,0,17,52,0,12,13,2,12,20
JM Kemp,0,0,0,0,0,0,14,2,18,11,2,0,3,0,0,0,0,0,0,1
JO Holder,16,96,27,165,120,68,35,55,91,54,29,70,24,40,44,94,32,143,108,92
JP Behrendorff,62,23,117,25,89,7,0,0,5,10,2,0,60,4,13,23,15,33,15,32
JP Duminy,51,23,25,70,10,16,57,87,38,72,55,19,116,42,37,20,27,26,11,0
JP Faulkner,33,119,49,37,111,117,50,13,26,34,102,68,112,48,74,149,101,114,205,182
JPR Scantlebury-Searles,0,0,12,0,0,0,10,6,0,21,0,0,18,0,0,19,0,0,0,0
JR Hazlewood,0,146,42,106,83,57,0,0,8,8,0,14,15,29,21,37,37,45,81,62
JR Hopes,0,0,0,0,5,20,18,36,45,53,38,40,0,59,18,56,37,36,53,25
JW Hastings,0,9,0,6,12,20,0,0,0,0,0,3,4,0,0,0,0,9,0,0
Jalaj S Saxena,0,0,10,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0
Jaskaran Singh,0,13,0,19,8,7,21,0,9,0,0,10,0,4,0,16,0,0,29,26
Joginder Sharma,0,0,9,0,27,8,41,23,25,45,23,31,9,34,25,17,16,21,14,34
K Goel,0,0,0,0,0,0,5,0,6,5,24,38,0,14,0,0,0,0,0,0
K Gowtham,100,72,95,30,44,40,23,63,44,47,29,79,51,30,0,21,4,0,0,25
K Kartikeya,0,0,0,0,0,16,32,17,49,35,28,11,12,43,31,9,5,15,0,18
K Khejroliya,0,13,23,0,12,14,20,9,7,0,0,14,8,0,25,0,0,34,8,22
K Rabada,94,213,118,252,153,188,28,53,2,22,75,65,92,91,123,165,132,259,240,121
K Santokie,0,24,0,0,0,5,0,0,0,5,0,0,0,0,0,9,13,0,31,0
K Upadhyay,3,15,14,13,0,13,0,0,0,0,0,0,2,0,19,0,0,0,0,0
K Yadav,0,13,0,0,13,0,3,9,8,0,0,0,0,0,10,0,0,0,24,4
KA Jamieson,5,45,20,32,23,20,0,0,0,0,8,9,8,4,6,22,0,45,11,0
KA Maharaj,0,0,0,8,0,0,0,5,0,3,0,20,0,3,0,0,0,0,0,0
KA Pollard,0,0,0,11,1,43,64,148,121,229,199,184,131,208,159,184,108,59,59,169
KAJ Roach,14,0,5,0,0,0,12,0,0,0,0,0,0,0,2,0,0,12,19,12
KC Cariappa,0,0,6,0,25,33,64,13,29,41,28,17,13,22,27,11,11,0,0,0
KH Pandya,34,86,105,100,173,145,206,180,240,198,229,157,228,122,95,105,51,46,7,16
KJ Abbott,0,19,0,51,0,0,0,18,0,3,0,16,11,0,0,16,27,0,9,0
KK Ahmed,164,143,213,136,117,115,17,7,4,28,19,43,22,87,109,38,187,138,131,90
KK Cooper,0,0,0,6,18,76,9,16,41,33,24,47,25,43,19,30,104,71,109,54
KL Nagarkoti,0,7,0,8,15,14,0,19,0,37,47,16,25,28,7,37,0,4,0,16
KM Asif,0,31,0,18,19,0,16,3,0,0,10,5,9,10,36,29,0,2,13,18
KMA Paul,0,0,0,0,0,15,16,17,14,14,8,29,10,10,11,8,0,45,1,18
KMDN Kulasekara,18,6,34,9,0,10,0,0,0,0,0,0,0,8,0,0,5,2,12,11
KP Appanna,0,0,0,8,0,17,0,19,27,17,42,46,25,50,3,24,0,0,0,0
KP Pietersen,2,7,5,0,0,0,21,4,42,20,26,4,26,5,4,10,17,12,0,0
KR Mayers,16,14,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
KR Sen,0,15,3,15,14,12,25,0,32,21,21,0,41,27,14,24,9,11,40,48
KS Williamson,0,0,0,0,7,0,0,0,0,7,0,17,0,0,0,0,0,0,0,0
KT Maphaka,16,0,34,0,0,0,0,0,0,20,0,0,0,0,0,0,16,0,0,0
KV Sharma,6,0,0,43,74,60,143,236,208,191,168,219,186,194,135,70,57,55,17,0
KW Richardson,23,33,17,32,41,40,4,0,0,0,11,17,0,24,19,37,19,46,53,42
Kamran Khan,14,13,34,23,12,29,7,0,0,9,0,26,0,3,7,0,15,20,5,11
Karanveer Singh,4,0,22,0,0,0,26,19,43,22,12,14,27,31,41,14,20,17,0,0
Kartik Tyagi,4,11,9,57,80,93,5,32,20,41,18,23,20,23,29,54,52,38,27,39
Kuldeep Yadav,0,13,7,0,34,24,187,270,223,317,172,259,137,219,94,160,105,70,13,35
L Ablish,0,0,0,12,14,0,0,0,12,0,19,0,0,0,0,13,0,0,0,2
L Balaji,68,109,109,83,53,74,37,58,44,65,102,80,99,50,90,129,101,180,174,247
L Ngidi,13,25,20,38,5,53,0,0,6,7,12,4,11,16,18,40,24,45,17,76
L Wood,19,6,0,0,0,0,0,0,8,0,0,0,0,15,0,0,0,43,0,0
LA Carseldine,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LB Williams,26,0,19,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0
LE Plunkett,0,0,0,13,51,5,25,16,0,11,21,5,0,6,0,12,6,46,4,0
LH Ferguson,2,54,8,99,93,101,58,46,36,66,68,79,56,57,46,58,119,105,162,63
LI Meriwala,0,19,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
LJ Wright,0,0,0,0,12,0,0,14,0,4,19,19,0,7,0,29,0,0,0,16
LMP Simmons,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,16,0,8,0,0
LPC Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
LR Shukla,0,0,0,0,40,9,8,8,16,15,45,20,73,28,53,17,21,63,0,13
LRPL Taylor,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0
LS Livingstone,17,0,0,0,0,0,16,40,22,58,60,52,23,29,48,6,13,0,0,0
Lalit Yadav,0,37,3,65,18,28,12,23,15,5,40,19,47,56,9,21,16,5,0,0
M Ashwin,0,11,15,33,22,52,86,88,82,99,113,78,82,104,82,94,74,4,8,4
M Jansen,0,146,0,74,31,117,28,0,0,23,37,30,17,16,75,21,11,8,0,31
M Kartik,43,0,28,0,73,57,86,119,104,109,72,141,112,113,79,84,76,17,18,10
M Manhas,0,0,0,0,0,0,0,9,0,0,2,2,5,4,12,8,0,0,0,0
M Markande,0,0,0,0,0,0,179,76,206,88,100,31,97,77,24,127,29,2,0,15
M Morkel,72,163,181,245,171,179,44,39,0,23,16,56,50,94,92,69,159,171,109,72
M Muralitharan,37,0,20,8,14,74,120,117,104,143,166,152,149,75,104,150,77,97,26,9
M Ntini,30,4,47,12,48,25,0,2,0,0,0,0,0,0,20,5,4,23,10,8
M Pathirana,0,0,0,0,0,0,0,42,7,24,18,40,15,36,14,71,22,87,34,114
M Prasidh Krishna,60,209,79,144,89,88,35,19,41,29,16,29,38,34,63,114,80,142,182,128
M Shahrukh Khan,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0
M Siddharth,11,0,32,0,14,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
M Theekshana,0,21,13,59,52,151,0,39,2,63,11,46,45,34,118,62,68,0,5,0
M Vijay,0,7,0,0,0,0,5,0,5,12,6,13,0,0,0,0,0,0,0,0
M de Lange,5,30,14,6,0,17,0,0,0,20,0,0,7,0,0,0,13,0,24,21
MA Khote,0,0,0,0,0,0,0,0,0,0,0,0,6,0,22,0,10,0,0,13
MA Starc,185,60,194,59,33,55,4,11,2,22,12,0,34,10,21,29,109,37,71,122
MA Wood,0,0,0,4,0,29,1,5,0,2,6,0,7,11,0,20,18,14,29,26
MB Parmar,13,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0
MC Henriques,11,35,20,24,50,128,102,125,94,118,64,98,78,91,66,82,31,24,11,4
MF Maharoof,32,28,37,58,8,37,32,25,13,17,7,14,19,5,12,18,9,92,27,4
MG Bracewell,0,0,0,0,13,0,14,0,29,0,7,0,16,0,16,0,0,0,0,0
MG Johnson,127,111,183,127,130,103,6,24,21,19,44,54,55,73,97,66,106,96,146,45
MG Neser,0,0,0,0,18,0,0,0,0,10,0,0,0,0,0,0,0,12,0,21
MJ Clarke,0,0,0,0,0,0,12,0,12,0,15,0,16,3,0,9,0,0,0,0
MJ Henry,20,37,26,0,23,21,0,0,0,0,0,0,0,8,0,35,0,8,0,0
MJ McClenaghan,133,145,218,141,67,112,32,14,27,12,44,35,37,55,101,92,77,208,92,84
MJ Santner,16,17,16,6,26,57,23,51,51,30,33,17,40,5,6,16,1,0,0,0
MJ Suthar,0,0,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MK Lomror,0,5,0,0,0,6,18,16,0,36,15,8,0,15,4,0,0,0,0,0
MK Tiwary,0,0,0,0,0,0,0,7,0,0,22,22,0,0,0,0,0,10,17,0
MM Ali,18,0,10,10,0,9,31,183,61,140,46,90,63,98,50,50,7,2,0,13
MM Patel,104,71,150,126,215,80,72,43,40,26,28,32,55,49,50,90,101,92,92,154
MM Sharma,98,220,178,236,176,214,91,69,71,54,85,81,126,89,183,125,177,350,313,264
